'CODIGO';'VALOR'
'B51';'Paludismo [malaria] debido a Plasmodium vivax'
'B52';'Paludismo [malaria] debido a Plasmodium malariae'
'B53';'Otro paludismo [malaria] confirmado parasitológicamente'
'B54';'Paludismo [malaria] no especificado'
'B55';'Leishmaniasis'
'B56';'Tripanosomiasis africana'
'B57';'Enfermedad de Chagas'
'B58';'Toxoplasmosis'
'B59';'Neumocistosis'
'B60';'Otras enfermedades debidas a protozoarios no clasificadas en otra parte'
'B64';'Enfermedad debida a protozoarios no especificada'
'B65';'Esquistosomiasis [bilharziasis]'
'B66';'Otras infecciones debidas a trematodos'
'B67';'Equinococosis'
'B68';'Teniasis'
'B69';'Cisticercosis'
'B70';'Difilobotriasis y esparganosis'
'B71';'Otras infecciones debidas a cestodos'
'B72';'Dracontiasis'
'B73';'Oncocercosis'
'B74';'Filariasis'
'B75';'Triquinosis'
'B76';'Anquilostomiasis y necatoriasis'
'B77';'Ascariasis'
'B78';'Estrongiloidiasis'
'B79';'Tricuriasis'
'B80';'Enterobiasis'
'B81';'Otras helmintiasis intestinales no clasificadas en otra parte'
'B82';'Parasitosis intestinal sin otra especificación'
'B83';'Otros helmintiasis'
'B85';'Pediculosis y phthiriasis'
'B86';'Escabiosis'
'B87';'Miasis'
'B88';'Otras infestaciones'
'B89';'Enfermedad parasitaria no especificada'
'B90';'Secuelas de tuberculosis'
'B91';'Secuelas de poliomielitis'
'B92';'Secuelas de lepra'
'B94';'Secuelas de otras enfermedades infecciosas y parasitarias de los no especificadas'
'B95';'Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos'
'B96';'Otros agentes bacterianos especificados como causa de enfermedades clasificadas en otros capítulos'
'B97';'Agentes virales como causa de enfermedades clasificadas en otros capítulos'
'B98';'Otros agentes infecciosos especificados como causa de enfermedades clasificadas en otros capítulos'
'B99';'Otras enfermedades infecciosas y las no especificadas'
'C00';'Tumor maligno del labio'
'C01';'Tumor maligno de la base de la lengua'
'C02';'Tumor maligno de otras partes y de las no especificadas de la lengua'
'C03';'Tumor maligno de la encía'
'C04';'Tumor maligno del piso de la boca'
'C05';'Tumor maligno del paladar'
'C06';'Tumor maligno de otras partes y de las no especificadas de la boca'
'C07';'Tumor maligno de la glándula parótida'
'C08';'Tumor maligno de otras glándulas salivales mayores y de las no especificadas'
'C09';'Tumor maligno de la amígdala'
'C10';'Tumor maligno de la orofaringe'
'C11';'Tumor maligno de la nasofaringe'
'C12';'Tumor maligno del seno piriforme'
'C13';'Tumor maligno de la hipofaringe'
'C14';'Tumor maligno de otros sitios y de los mal definidos del labio de la cavidad bucal y de la faringe'
'C15';'Tumor maligno del esófago'
'C16';'Tumor maligno del estómago'
'C17';'Tumor maligno del intestino delgado'
'C18';'Tumor maligno del colon'
'C19';'Tumor maligno de la unión rectosigmoidea'
'C20';'Tumor maligno del recto'
'C21';'Tumor maligno del ano y del conducto anal'
'C22';'Tumor maligno del hígado y de las vías biliares intrahepáticas'
'C23';'Tumor maligno de la vesícula biliar'
'C24';'Tumor maligno de otras partes y de las no especificadas de las vías biliares'
'C25';'Tumor maligno del páncreas'
'C26';'Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos'
'C30';'Tumor maligno de las fosas nasales y del oído medio'
'C31';'Tumor maligno de los senos paranasales'
'C32';'Tumor maligno de la laringe'
'C33';'Tumor maligno de la tráquea'
'C34';'Tumor maligno de los bronquios y del pulmón'
'C37';'Tumor maligno del timo'
'C38';'Tumor maligno del corazón del mediastino y de la pleura'
'C39';'Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos'
'C40';'Tumor maligno de los huesos y de los cartílagos articulares de los miembros'
'C41';'Tumor maligno de los huesos y de los cartílagos articulares de otros sitios y de sitios no especificados'
'C43';'Melanoma maligno de la piel'
'C44';'Otros tumores malignos de la piel'
'C45';'Mesotelioma'
'C46';'Sarcoma de Kaposi'
'C47';'Tumor maligno de los nervios periféricos y del sistema nervioso autónomo'
'C48';'Tumor maligno del peritoneo y del retroperitoneo'
'C49';'Tumor maligno de otros tejidos conjuntivos y de tejidos blandos'
'C50';'Tumor maligno de la mama'
'C51';'Tumor maligno de la vulva'
'C52';'Tumor maligno de la vagina'
'C53';'Tumor maligno del cuello del útero'
'C54';'Tumor maligno del cuerpo del útero'
'C55';'Tumor maligno del útero parte no especificada'
'C56';'Tumor maligno del ovario'
'C57';'Tumor maligno de otros órganos genitales femeninos y de los no especificados'
'C58';'Tumor maligno de la placenta'
'C60';'Tumor maligno del pene'
'C61';'Tumor maligno de la próstata'
'C62';'Tumor maligno del testículo'
'C63';'Tumor maligno de otros órganos genitales maculinos y de los no especificados'
'C64';'Tumor maligno del riñón excepto de la pelvis renal'
'C65';'Tumor maligno de la pelvis renal'
'C66';'Tumor maligno del uréter'
'C67';'Tumor maligno de la vejiga urinaria'
'C68';'Tumor maligno de otros óganos urinarios y de los no especificados'
'C69';'Tumor maligno del ojo y sus anexos'
'C70';'Tumor maligno de las meninges'
'C71';'Tumor maligno del encéfalo'
'C72';'Tumor maligno de la médula espinal de los nervios craneales y de otras partes del sistema nervioso central'
'C73';'Tumor maligno de la glándula tiroides'
'C74';'Tumor maligno de la glándula suprarrenal'
'C75';'Tumor maligno de otras glándulas endocrinas y de estructuras afines'
'C76';'Tumor maligno de otros sitios y de los sitios mal definidos'
'C77';'Tumor maligno secundario y el no especificado de los ganglios linfáticos'
'C78';'Tumor maligno secundario de los órganos respiratorios y digestivos'
'C79';'Tumor maligno secundario de otros sitios y de sitios no especificados'
'C80';'Tumor maligno de sitios no especificados'
'C81';'Linfoma de Hodgkin'
'C82';'Linfoma folicular'
'C83';'Linfoma no folicular'
'C84';'Linfomas de células T/NK maduras'
'C85';'Linfoma no Hodgkin de otro tipo y el no especificado'
'C86';'Otros tipos especificados de linfoma de células T/NK'
'C88';'Otros linfomas de células B [enfermedades inmunoproliferativas malignas]'
'C90';'Mieloma múltiple y tumores malignos de células plasmáticas'
'C91';'Leucemia linfoide'
'C92';'Leucemia mieloide'
'C93';'Leucemia monocítica'
'C94';'Otras leucemias de tipo celular especificado'
'C95';'Leucemia de células de tipo no especificado'
'C96';'Otros tumores malignos y los no especificados del tejido linfático de los órganos hematopoyéticos y de tejidos afines'
'C97';'Tumores malignos (primarios) de sitios múltiples independientes'
'D00';'Carcinoma in situ de la cavidad bucal del esófago y del estómago'
'D01';'Carcinoma in situ de otros órganos digestivos y de los no especificados'
'D02';'Carcinoma in situ del sistema respiratorio y del oído medio'
'D03';'Melanoma in situ'
'D04';'Carcinoma in situ de la piel'
'D05';'Carcinoma in situ de la mama'
'D06';'Carcinoma in situ del cuello del útero'
'D07';'Carcinoma in situ de otros órganos genitales y de los no especificados'
'D09';'Carcinoma in situ de otros sitios y de los no especificados'
'D10';'Tumor benigno de la boca y de la faringe'
'D11';'Tumor benigno de las glándulas salivales mayores'
'D12';'Tumor benigno del colon del recto del conducto anal y del ano'
'D13';'Tumor benigno de otras partes y de las mal definidas del sistema digestivo'
'D14';'Tumor benigno del oído medio y del sistema respiratorio'
'D15';'Tumor benigno de otros órganos intratorácicos y de los no especificados'
'D16';'Tumor benigno del hueso y del cartílago articular'
'D17';'Tumores benignos lipomatosos'
'D18';'Hemangioma y linfangioma de cualquier sitio'
'D19';'Tumores benignos del tejido mesotelial'
'D20';'Tumor benigno del tejido blando del peritoneo y del retroperitoneo'
'D21';'Otros tumores benignos del tejido conjuntivo y de los tejidos blandos'
'D22';'Nevo melanocítico'
'D23';'Otros tumores benignos de la piel'
'D24';'Tumor benigno de la mama'
'D25';'Leiomioma del útero'
'D26';'Otros tumores benignos del útero'
'D27';'Tumor benigno del ovario'
'D28';'Tumor benigno de otros órganos genitales femeninos y de los no especificados'
'D29';'Tumor benigno de los órganos genitales masculinos'
'D30';'Tumor benigno de los órganos urinarios'
'D31';'Tumor benigno del ojo y sus anexos'
'D32';'Tumores benignos de las meninges'
'D33';'Tumor benigno del encéfalo y de otras partes del sistema nervioso central'
'D34';'Tumor benigno de la glándula tiroides'
'D35';'Tumor benigno de otras glándulas endocrinas y de las no especificadas'
'D36';'Tumor benigno de otros sitios y de los no especificados'
'D37';'Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos'
'D38';'Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratorácicos'
'D39';'Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos'
'D40';'Tumor de comportamiento incierto o desconocido de los órganos genitales masculinos'
'D41';'Tumor de comportamiento incierto o desconocido de los órganos urinarios'
'D42';'Tumor de comportamiento incierto o desconocido de las meninges'
'D43';'Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central'
'D44';'Tumor de comportamiento incierto o desconocido de las glándulas endocrinas'
'D45';'Policitemia vera'
'D46';'Síndromes mielodisplásicos'
'D47';'Otros tumores de comportamiento incierto o desconocido del tejido linfático de los órganos hematopoyéticos y de tejidos afines'
'D48';'Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados'
'D50';'Anemias por deficiencia de hierro'
'D51';'Anemia por deficiencia de vitamina B12'
'D52';'Anemia por deficiencia de folatos'
'D53';'Otras anemias nutricionales'
'D55';'Anemia debida a trastornos enzimáticos'
'D56';'Talasemia'
'D57';'Trastornos falciformes'
'D58';'Otras anemias hemolíticas hereditarias'
'D59';'Anemia hemolítica adquirida'
'D60';'Aplasia adquirida exclusiva de la serie roja [eritroblastopenia]'
'D61';'Otras anemias aplásticas'
'D62';'Anemia posthemorrágica aguda'
'D63';'Anemia en enfermedades crónicas clasificadas en otra parte'
'D64';'Otras anemias'
'D65';'Coagulación intravascular diseminada [síndrome de desfibrinación]'
'D66';'Deficiencia hereditaria del factor VIII'
'D67';'Deficiencia hereditaria del factor IX'
'D68';'Otros defectos de la coagulación'
'D69';'Púrpura y otras afecciones hemorrágicas'
'D70';'Agranulocitosis'
'D71';'Trastornos funcionales de los polimorfonucleares neutrófilos'
'D72';'Otros trastornos de los leucocitos'
'D73';'Enfermedades del bazo'
'D74';'Metahemoglobinemia'
'D75';'Otras enfermedades de la sangre y de los órganos hematopoyéticos'
'D76';'Otras enfermedades especificadas con participación deL tejido linforreticular y del tejido reticulohistiocítico'
'D77';'Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte'
'D80';'Inmunodeficiencia con predominio de defectos de los anticuerpos'
'D81';'Inmunodeficiencias combinadas'
'D82';'Inmunodeficiencia asociada con otros defectos mayores'
'D83';'Inmunodeficiencia variable común'
'D84';'Otras inmunodeficiencias'
'D86';'Sarcoidosis'
'D89';'Otros trastornos que afectan el mecanismo de la inmunidad no clasificados en otra parte'
'E00';'Síndrome congénito de deficiencia de yodo'
'E01';'Trastornos tiroideos vinculados a deficiencia de yodo y afecciones relacionadas'
'E02';'Hipotiroidismo subclínico por deficiencia de yodo'
'E03';'Otros hipotiroidismos'
'E04';'Otros bocios no tóxicos'
'E05';'Tirotoxicosis [hipertiroidismo]'
'E06';'Tiroiditis'
'E07';'Otros trastornos tiroideos'
'E10';'Diabetes mellitus insulinodependiente'
'E11';'Diabetes mellitus no insulinodependiente'
'E12';'Diabetes mellitus asociada con desnutrición'
'E13';'Otras diabetes mellitus especificadas'
'E14';'Diabetes mellitus no especificada'
'E15';'Coma hipoglicémico no diabético'
'E16';'Otros trastornos de la secreción interna del páncreas'
'E20';'Hipoparatiroidismo'
'E21';'Hiperparatiroidismo y otros trastornos de la glándula paratiroides'
'E22';'Hiperfunción de la glándula hipófisis'
'E23';'Hipofunción y otros trastornos de la glándula hipófisis'
'E24';'Síndrome de Cushing'
'E25';'Trastornos adrenogenitales'
'E26';'Hiperaldosteronismo'
'E27';'Otros trastornos  de la glándula suprarrenal'
'E28';'Disfunción ovárica'
'E29';'Disfunción testicular'
'E30';'Trastornos de la pubertad no clasificados en otra parte'
'E31';'Disfunción poliglandular'
'E32';'Enfermedades del timo'
'E34';'Otros trastornos endocrinos'
'E35';'Trastornos endocrinos en enfermedades clasificadas en otra parte'
'E40';'Kwashiorkor'
'E41';'Marasmo nutricional'
'E42';'Kwashiorkor marasmático'
'E43';'Desnutrición proteicocalórica severa no especificada'
'E44';'Desnutrición proteicocalórica de grado moderado y leve'
'E45';'Retardo del desarrollo debido a desnutrición proteicocalórica'
'E46';'Desnutrición proteicocalórica no especificada'
'E50';'Deficiencia de vitamina A'
'E51';'Deficiencia de tiamina'
'E52';'Deficiencia de niacina [pelagra]'
'E53';'Deficiencias de otras vitaminas del grupo B'
'E54';'Deficiencia de ácido ascórbico'
'E55';'Deficiencia de vitamina D'
'E56';'Otras deficiencias de vitaminas'
'E58';'Deficiencia dietética de calcio'
'E59';'Deficiencia dietética de selenio'
'E60';'Deficiencia dietética de zinc'
'E61';'Deficiencias de otros elementos nutricionales'
'E63';'Otras deficiencias nutricionales'
'E64';'Secuelas de la desnutrición y de otras deficiencias nutricionales'
'E65';'Adiposidad localizada'
'E66';'Obesidad'
'E67';'Otros tipos de hiperalimentación'
'E68';'Secuelas de hiperalimentación'
'E70';'Trastornos del metabolismo de los aminoácidos aromáticos'
'E71';'Trastornos del metabolismo de los aminoácidos de cadena ramificada y de los ácidos grasos'
'E72';'Otros trastornos del metabolismo de los aminoácidos'
'E73';'Intolerancia a la lactosa'
'E74';'Otros trastornos del metabolismo de los carbohidratos'
'E75';'Trastornos del metabolismo de los esfingolípidos y otros trastornos por almacenamiento de lípidos'
'E76';'Trastornos del metabolismo de los glucosaminoglicanos'
'E77';'Trastornos del metabolismo de las glucoproteínas'
'E78';'Trastornos del metabolismo de las lipoproteínas y otras lipidemias'
'E79';'Trastornos del metabolismo de las purinas y de las pirimidinas'
'E80';'Trastornos del metabolismo de las porfirinas y de la bilirrubina'
'E83';'Trastornos del metabolismo de los minerales'
'E84';'Fibrosis quística'
'E85';'Amiloidosis'
'E86';'Depleción del volumen'
'E87';'Otros trastornos de los líquidos de los electrólitos y del equilibrio ácido-básico'
'E88';'Otros trastornos metabólicos'
'E89';'Trastornos endocrinos y metabólicos consecutivos a procedimientos no clasificados en otra parte'
'E90';'Trastornos nutricionales y metabólicos en enfermedades clasificadas en otra parte'
'F00';'Demencia en la enfermedad de Alzheimer'
'F01';'Demencia vascular'
'F02';'Demencia en otras enfermedades clasificadas en otra parte'
'F03';'Demencia  no especificada'
'F04';'Síndrome amnésico orgánico no inducido por alcohol o por otras sustancias psicoactivas'
'F05';'Delirio no inducido por alcohol o por otras sustancias psicoactivas'
'F06';'Otros trastornos mentales debidos a lesión y disfunción cerebral y a enfermedad física'
'F07';'Trastronos de la personalidad y del comportamiento debidos a enfermedad lesión o disfunción cerebral'
'F09';'Trastorno mental orgánico o sintomático no especificado'
'F10';'Trastornos mentales y del comportamiento debidos al uso de alcohol'
'F11';'Trastornos mentales y del comportamiento debidos al uso de opiáceos'
'F12';'Trastornos mentales y del comportamiento debidos al uso de cannabinoides'
'F13';'Trastornos mentales y del comportamiento debidos al uso de sedantes  o hipnóticos'
'F14';'Trastornos mentales y del comportamiento debidos al uso de cocaína'
'F15';'Trastornos mentales y del comportamiento debidos al uso de otros estimilantes incluida la cafeína'
'F16';'Trastornos mentales y del comportamiento debidos al uso de alucinógenos'
'F17';'Trastornos mentales y del comportamiento debidos al uso de tabaco'
'F18';'Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles'
'F19';'Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas'
'F20';'Esquizofrenia'
'F21';'Trastorno esquizotípico'
'F22';'Trastornos delirantes persistentes'
'F23';'Trastornos psicóticos agudos y transitorios'
'F24';'Trastorno delirante inducido'
'F25';'Trastornos esquizoafectivos'
'F28';'Otros trastornos psicóticos  de origen no orgánico'
'F29';'Psicosis de origen no orgánico no especificada'
'F30';'Episodio maníaco'
'F31';'Trastorno afectivo bipolar'
'F32';'Episodio depresivo'
'F33';'Trastorno depresivo recurrente'
'F34';'Trastorno del humor [afectivos] persistentes'
'F38';'Otros trastornos del humor [afectivos]'
'F39';'Trastorno del humor [afectivo] no especificado'
'F40';'Trastornos fóbicos de ansiedad'
'F41';'Otros trastornos de ansiedad'
'F42';'Trastorno obsesivo-compulsivo'
'F43';'Reacción al estrés grave y trastornos de adaptación'
'F44';'Trastornos disociativos [de conversión]'
'F45';'Trastornos somatomorfos'
'F48';'Otros trastornos neuróticos'
'F50';'Trastornos de la ingestión de alimentos'
'F51';'Trastornos no orgánicos del sueño'
'F52';'Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos'
'F53';'Trastornos mentales y del comportamiento asociados con el puerperio no clasificados en otra parte'
'F54';'Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte'
'F55';'Abuso de sustancias que no producen dependencia'
'F59';'Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos no especificados'
'F60';'Trastornos específicos de la personalidad'
'F61';'Trastornos mixtos y otros trastornos de la personalidad'
'F62';'Cambios perdurables de la personalidad no atribuibles a lesión o a enfermedad cerebral'
'F63';'Trastornos de los hábitos y de los impulsos'
'F64';'Trastornos de la identidad de género'
'F65';'Trastornos de la preferencia sexual'
'F66';'Trastornos psicológicos y del comportamiento asociados con el desarrollo y con la orientación sexuales'
'F68';'Otros trastornos de la personalidad y del comportamiento en adultos'
'F69';'Trastorno de la personalidad y del comportamiento en adultos no especificado'
'F70';'Retraso mental leve'
'F71';'Retraso mental moderado'
'F72';'Retraso mental grave'
'F73';'Retraso mental profundo'
'F78';'Otros tipos de retraso mental'
'F79';'Retraso mental no especificado'
'F80';'Trastornos específicos del desarrollo del habla y del lenguaje'
'F81';'Trastornos específicos del  desarrollo de las habilidades escolares'
'F82';'Trastorno especÍfico del desarrollo de la función motriz'
'F83';'Trastornos específicos mixtos del desarrollo'
'F84';'Trastornos generalizados del desarrollo'
'F88';'Otros trastornos del desarrollo psicológico'
'F89';'Trastorno del desarrollo psicológico no especificado'
'F90';'Trastornos hipercinéticos'
'F91';'Trastornos de la conducta'
'F92';'Trastornos mixtos de la conducta y de las emociones'
'F93';'Trastornos emocionales de comienzo específico en la niñez'
'F94';'Trastornos del comportamiento social de comienzo específico en la niñez y en la adolescencia'
'F95';'Trastornos por tics'
'F98';'Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia'
'F99';'Trastorno mental no especificado'
'G00';'Meningitis bacteriana no clasificada en otra parte'
'G01';'Meningitis en enfermedades bacterianas clasificadas en otra parte'
'G02';'Meningitis en otras enfermedades infecciosas y parasitarias clasificada en otra parte'
'G03';'Meningitis debida a otras causas y a las no especificadas'
'G04';'Encefalitis mielitis y encefalomielitis'
'G05';'Encefalitis mielitis y encefalomielitis en enfermedades clasificadas en otra parte'
'G06';'Absceso y granuloma intracraneal e intrarraquídeo'
'G07';'Absceso y granuloma intracraneal e intrarraquídeo en enfermedades clasificadas en otra parte'
'G08';'Flebitis y tromboflebitis intracraneal e intrarraquídea'
'G09';'Secuelas de enfermedades inflamatorias del sistema nervioso central'
'G10';'Enfermedad de Huntington'
'G11';'Ataxia hereditaria'
'G12';'Atrofia muscular espinal y síndromes afines'
'G13';'Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte'
'G14';'Síndrome postpolio'
'G20';'Enfermedad de Parkinson'
'G21';'Parkinsonismo secundario'
'G22';'Parkinsonismo en enfermedades clasificadas en otra parte'
'G23';'Otras enfermedades degenerativas de los núcleos de la base'
'G24';'Distonía'
'G25';'Otros trastornos extrapiramidales y del movimiento'
'G26';'Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte'
'G30';'Enfermedad de Alzheimer'
'G31';'Otras enfermedades degenerativas del sistema nervioso no clasificadas en otra parte'
'G32';'Otros trastornos degenerativos del sistema nervioso en enfermedades  clasificadas en otra parte'
'G35';'Esclerosis múltiple'
'G36';'Otras desmielinizaciones diseminadas agudas'
'G37';'Otras enfermedades desmielinizantes del sistema nervioso central'
'G40';'Epilepsia'
'G41';'Estado de mal epiléptico'
'G43';'Migraña'
'G44';'Otros síndromes de cefalea'
'G45';'Ataques de isquemia cerebral transitoria y síndromes afines'
'G46';'Síndromes vasculares encefálicos en enfermedades cerebrovasculares'
'G47';'Trastornos del sueño'
'G50';'Trastornos del nervio trigémino'
'G51';'Trastornos del nervio facial'
'G52';'Trastornos de otros nervios craneales'
'G53';'Trastornos de los nervios craneales en enfermedades clasificadas en otra parte'
'G54';'Trastornos de las raíces y de los plexos nerviosos'
'G55';'Compresiones de las raíces y de los plexos nerviosos en enfermedades clasificadas en otra parte'
'G56';'Mononeuropatías del miembro superior'
'G57';'Mononeuropatías del miembro inferior'
'G58';'Otras mononeuropatías'
'G59';'Mononeuropatía en enfermedades clasificadas en otra parte'
'G60';'Neuropatía hereditaria e idiopática'
'G61';'Polineuopatía inflamatoria'
'G62';'Otras polineuropatías'
'G63';'Polineuropatías en enfermedades clasificadas en otra parte'
'G64';'Otros trastornos del sistema nervioso periférico'
'G70';'Miastenia gravis y otros trastornos neuromusculares'
'G71';'Trastornos musculares primarios'
'G72';'Otras miopatías'
'G73';'Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas en otra parte'
'G80';'Parálisis cerebral'
'G81';'Hemiplejía'
'G82';'Paraplejía y cuadriplejía'
'G83';'Otros síndromes paralíticos'
'G90';'Trastornos del sistema nervioso autónomo'
'G91';'Hidrocéfalo'
'G92';'Encefalopatía tóxica'
'G93';'Otros trastornos del encéfalo'
'G94';'Otros trastornos del encéfalo en enfermedades clasificadas en otra parte'
'G95';'Otras enfermedades de la médula espinal'
'G96';'Otros trastornos del sistema nervioso central'
'G97';'Trastornos del sistema nervioso consecutivos a procedimientos no clasificados en otra parte'
'G98';'Otros trastornos del sistema nervioso no clasificados en otra parte'
'G99';'Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte'
'H00';'Orzuelo y calacio'
'H01';'Otras inflamaciones del párpado'
'H02';'Otros trastornos de los párpados'
'H03';'Trastornos del párpado en enfermedades clasificadas en otra parte'
'H04';'Trastornos del aparato lagrimal'
'H05';'Trastornos de la órbita'
'H06';'Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte'
'H10';'Conjuntivitis'
'H11';'Otros trastornos de la conjuntiva'
